,importance
NDepDep,2.970778135841259
NDepArr,2.9006281847076063
distance_gate,2.8797148949085978
NArrDep,2.8409748270365127
NArrArr,2.759826382500853
rwy_num,2.7028288723277867
distance_long,2.627493676514508
rwy_day,2.555043271229817
angle error,2.537442801734791
other_moving_ac,2.081511279653109
runway hour,2.036472506160593
QArrDep,2.025908391760054
QDepDep,2.0005277382536435
QDepArr,1.9908044089029866
operation_mode,1.8943796431421545
distance_else,1.8698481019094864
gate (block) hour,1.8444700333958948
shortest path,1.8215007354267823
QArrArr,1.7754100919147233
angle,1.6850689590179697
distance,1.3633736292469296
