id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
02-Jan-2021_OPS 3,arrival,785.4,16,02,02,3373.9039751247738,1096.0961211893568,0,943.9140293386697,234.088629142,0,3139.8153459827736,,-1,0,3,0,0,57,58,0,0,0,1
06-Jan-2021_OPS 3,departure,1243.2333333333333,01,22,06,4273.000770837094,1125.5110056203484,0,2725.3862283606654,89.0638088564,0,4183.936961980694,,-1,0,3,35,52,0,0,1,1,0,0
07-Jan-2021_OPS 3,departure,247.43333333333334,00,04,07,4684.539537917126,1047.8456780425129,1,1549.030402611505,88.9090138822,0,4595.630524034926,,-1,0,5,3,3,0,0,2,2,0,0
09-Jan-2021_OPS 3,departure,1311.8833333333334,00,21,09,4576.52983959406,677.0482448563504,0,796.0465784219341,109.341765491,1743.6657683117564,2723.5223057913036,,-1,0,2,48,57,0,0,0,1,0,0
11-Jan-2021_OPS 3,departure,607.4333333333333,13,23,11,2595.901428683416,606.2376453338102,0,1648.7542381209282,106.423920412,524.1999551091711,1965.2775531622447,,-1,0,4,11,15,0,0,2,2,0,0
13-Jan-2021_OPS 3,arrival,818.55,15,01,13,2977.331287020668,960.5358525649528,1,515.5955274573129,0,0,2977.331287020668,23R/05L,1,0,2,0,0,12,18,0,0,0,1
14-Jan-2021_OPS 3,arrival,1302.4666666666667,22,00,14,3913.9012894945727,1120.2299468208212,1,1786.0914170861329,0,0,3913.9012894945727,23R/05L,1,0,1,0,0,19,36,0,0,0,0
15-Jan-2021_OPS 3,arrival,1124.45,20,02,15,4926.8482719789645,697.372786109361,0,2408.9956715512676,107.541906653,0,4819.306365325964,,-1,0,0,0,0,26,35,0,0,0,0
16-Jan-2021_OPS 3,departure,802.8833333333333,01,14,16,5614.07128606755,1133.2660027635402,1,172.88571695724505,126.546722489,522.0348638206866,4965.4896997578635,,-1,0,4,20,25,0,0,0,1,0,0
20-Jan-2021_OPS 3,arrival,1330.2166666666667,23,01,20,4744.7100778637605,1069.4046652787747,0,1366.8837878733932,0,0,4744.7100778637605,23R/05L,1,0,1,0,0,19,35,0,0,0,1
22-Jan-2021_OPS 3,arrival,1236.0,23,02,22,5541.2761661568975,1393.8961676338974,0,54.8898840731,71.8532588843,522.0348638206866,4947.388043451911,,-1,0,1,0,0,31,39,0,0,0,0
25-Jan-2021_OPS 3,arrival,986.35,21,05,25,8201.322892427297,1972.6963369475734,1,1047.8639600156391,209.0101864823,0,7992.312705944997,,-1,0,10,0,0,20,47,0,0,1,8
27-Jan-2021_OPS 3,arrival,1408.2833333333333,23,00,27,3588.5011685014233,1104.0437198046995,0,1628.732084181666,109.341765491,0,3479.1594030104234,23R/05L,1,0,0,0,0,21,18,0,0,0,0
29-Jan-2021_OPS 3,arrival,922.8,17,02,29,2654.9816569073364,773.9613613285861,1,238.61954505873808,101.443894651,0,2553.5377622563365,23R/05L,1,0,2,0,0,22,28,0,0,0,0
30-Jan-2021_OPS 3,arrival,19.366666666666667,02,02,30,2707.6288730936167,526.1381446141368,1,1153.0388033001034,0,0,2707.6288730936167,23R/05L,1,0,1,0,0,0,1,0,0,0,1
31-Jan-2021_OPS 3,arrival,97.31666666666666,23,21,31,2994.916368616364,560.6641143281349,0,1786.0914170861329,0,709.7835036448447,2285.132864971519,23R/05L,1,0,3,0,0,0,3,0,0,0,2
01-Jan-2021_4258C3x4,departure,29.9,07,07,01,715.1027424843351,101.14052816111291,0,679.123427555834,97.6252199104,0,617.4775225739351,,-1,0,3,1,1,0,0,1,2,0,0
01-Jan-2021_4258C3x10,arrival,68.51666666666667,21,20,01,2100.5103273337872,468.15866071203925,0,212.7048924793778,203.6482995657,522.0348638206866,1374.8271639474005,,-1,0,2,0,0,2,3,0,0,1,0
03-Jan-2021_4258C3x2,departure,85.95,03,04,03,1042.6145497730897,248.06797979193067,0,796.0465784219342,96.9135520318,0,945.7009977412897,,-1,0,3,0,0,0,0,0,2,0,0
02-Jan-2021_4258C3x2,departure,73.7,04,05,02,1999.4711521063514,382.22353361379237,0,1424.7186286597225,121.806504544,0,1877.6646475623513,,-1,0,4,0,3,0,0,0,2,0,0
02-Jan-2021_4258C3x11,departure,29.466666666666665,20,20,02,595.3898882830129,253.1055205861944,0,489.24616994961286,71.1519727783,0,524.2379155047129,,-1,0,4,1,2,0,0,0,3,0,0
04-Jan-2021_4258C3x2,arrival,98.48333333333333,08,06,04,1887.4629004627943,388.57094415749987,0,208.5538333746769,139.479225601,0,1747.9836748617943,,-1,0,7,0,0,9,6,0,0,3,1
04-Jan-2021_4258C3x7,arrival,0.55,17,17,04,272.630504297,98.4712284684199,0,151.1670713186,74.6234152102,0,198.00708908680002,,-1,0,1,0,0,0,0,0,0,1,0
04-Jan-2021_4258C3x10,arrival,2.8,22,22,04,633.1246279023001,189.81101361216284,0,419.1684179229,213.9562099794,0,419.16841792290006,,-1,0,0,0,0,0,0,0,0,0,0
05-Jan-2021_4258C3x6,arrival,2.15,09,09,05,527.3288150016722,288.18498426845434,0,323.79425482967224,203.534560172,0,323.7942548296722,,-1,0,3,0,0,0,0,0,0,1,1
06-Jan-2021_4258C3x0,arrival,54.43333333333333,08,07,06,355.71878518557776,65.35767761513773,0,143.4481662473,174.8269134262,0,180.89187175937775,,-1,0,5,0,0,1,5,0,0,1,3
10-Jan-2021_4258C3x1,arrival,0.7333333333333333,11,11,10,287.1347125496,208.90082892344384,0,104.2659744952,182.8687380544,0,104.2659744952,,-1,0,0,0,0,0,0,0,0,0,0
15-Jan-2021_4258C3x1,departure,73.91666666666667,07,09,15,1238.1155636877593,354.7660637275662,0,318.75385703066945,103.676652407,0,1134.4389112807594,,-1,0,3,2,1,0,0,2,1,0,0
15-Jan-2021_4258C3x2,arrival,1.85,10,10,15,843.2667882609703,190.26025571389312,0,391.5740268998188,139.479225601,0,703.7875626599703,,-1,0,3,0,0,0,0,0,0,1,1
15-Jan-2021_4258C3x3,arrival,0.8,13,13,15,221.89195536019997,92.02220205705686,0,86.0550479364,67.0714083598,0,154.82054700039998,,-1,0,1,0,0,0,0,0,0,0,1
15-Jan-2021_4258C3x4,arrival,7.633333333333334,15,15,15,701.8045136774302,242.17153850172005,0,435.6924923494884,83.0918278028,0,618.7126858746302,,-1,0,1,0,0,0,0,0,0,0,1
16-Jan-2021_4258C3x2,departure,35.05,10,11,16,1415.5641306240432,178.05182992322656,0,1084.8878394498297,74.6234152102,543.3363431868075,797.6043722270357,,-1,0,3,0,3,0,0,1,2,0,0
16-Jan-2021_4258C3x3,departure,38.3,12,13,16,644.7854132554357,271.68789941778834,0,55.4364860977,99.6999845296,0,545.0854287258358,,-1,0,7,3,2,0,0,4,2,0,0
01-Jan-2021_4258BDx0,arrival,0.5666666666666667,00,00,01,498.9625414632402,172.01577286869068,0,256.10482617024024,0,0,498.9625414632402,23R/05L,1,0,2,0,0,0,0,0,0,1,1
