Component,ExplainedVariance,CumulativeVariance
PC1,0.18735990179314005,0.18735990179314005
PC2,0.13730724123021504,0.3246671430233551
PC3,0.10417877877755047,0.4288459218009055
PC4,0.090029116,0.5188750373201889
PC5,0.071981074,0.5908561116810757
PC6,0.066130104,0.6569862158071801
PC7,0.056646981387550165,0.7136331971947303
PC8,0.052196301,0.7658294986559853
PC9,0.046276817311660626,0.8121063159676459
PC10,0.03916538,0.8512716956031644
PC11,0.035267154,0.8865388491553018
PC12,0.032404045,0.9189428943702542
PC13,0.027046586684276615,0.9459894810545308
PC14,0.024020403462336203,0.9700098845168671
PC15,0.013330132384482225,0.9833400169013493
PC16,0.006495796,0.9898358125190836
PC17,0.003869632,0.9937054444690386
PC18,0.003032653,0.996738098
PC19,0.002658147,0.9993962451332618
PC20,0.000603755,1
PC21,0,1
